loan_id,app_id,client_id,product,channel,issue_date,principal,term_months,rate
97,224,7091,Кредитная карта,Отделение,2024-01-05,320000,12,31.6
98,226,4453,POS-кредит,Отделение,2024-01-20,50000,6,25.7
99,227,2458,Кредит наличными,Партнёр (POS),2024-01-13,730000,36,30.5
100,232,1508,POS-кредит,Отделение,2024-01-12,150000,6,21.5
101,233,9147,POS-кредит,Отделение,2024-01-17,340000,12,14.2
102,234,3631,Кредит наличными,Онлайн-заявка,2024-01-25,1330000,12,27.5
103,236,5105,POS-кредит,Партнёр (POS),2024-01-26,300000,12,17.8
104,239,460,Кредит наличными,Мобильное приложение,2024-01-17,1400000,48,23.5
105,240,206,Кредит наличными,Партнёр (POS),2024-01-04,1220000,36,25.5
106,242,4521,Кредит наличными,Онлайн-заявка,2024-01-24,530000,12,26.9
107,245,5695,Кредитная карта,Партнёр (POS),2024-01-12,250000,24,33.3
108,246,11009,Кредитная карта,Отделение,2024-01-11,550000,12,32.4
109,249,1221,POS-кредит,Колл-центр,2024-01-27,200000,6,19.1
110,252,1269,Кредитная карта,Онлайн-заявка,2024-01-10,500000,24,31.3
111,259,1429,Кредитная карта,Партнёр (POS),2024-01-25,650000,12,36.0
112,260,6889,POS-кредит,Партнёр (POS),2024-01-03,480000,6,18.8
113,262,941,POS-кредит,Партнёр (POS),2024-01-04,270000,6,17.5
114,264,1276,Кредит наличными,Мобильное приложение,2024-01-06,860000,12,23.8
115,265,1556,Кредит наличными,Отделение,2024-01-06,1140000,12,31.9
116,267,11369,POS-кредит,Мобильное приложение,2024-01-11,220000,6,26.1
117,280,1492,Кредит наличными,Колл-центр,2024-01-14,1240000,24,30.5
118,283,4938,Кредитная карта,Партнёр (POS),2024-01-04,520000,12,37.1
119,285,3227,POS-кредит,Отделение,2024-01-21,240000,6,19.9
120,287,8398,Кредитная карта,Мобильное приложение,2024-01-27,320000,24,32.1
121,292,2161,POS-кредит,Отделение,2024-01-04,390000,18,22.0
122,293,10714,Кредитная карта,Отделение,2024-01-24,380000,12,39.7
123,295,295,Кредит наличными,Партнёр (POS),2024-01-11,950000,48,34.7
124,298,4441,Кредитная карта,Отделение,2024-01-14,460000,24,32.2
125,299,7986,POS-кредит,Отделение,2024-01-23,120000,18,21.6
126,300,5100,Кредитная карта,Колл-центр,2024-01-24,540000,24,31.2
127,308,4340,POS-кредит,Онлайн-заявка,2024-01-17,270000,18,23.0
128,310,10543,POS-кредит,Колл-центр,2024-01-24,100000,12,16.5
129,315,6920,Кредитная карта,Мобильное приложение,2024-01-05,790000,24,31.9
130,320,3266,POS-кредит,Мобильное приложение,2024-01-26,270000,18,23.2
131,321,2549,Кредит наличными,Партнёр (POS),2024-01-01,830000,48,22.8
132,324,4421,POS-кредит,Отделение,2024-01-15,360000,6,19.9
133,326,11479,Кредит наличными,Мобильное приложение,2024-01-28,1570000,48,25.0
134,328,10302,POS-кредит,Онлайн-заявка,2024-01-27,250000,18,20.9
135,332,3971,Кредит наличными,Отделение,2024-01-06,670000,24,25.9
136,333,10543,POS-кредит,Партнёр (POS),2024-01-04,240000,12,24.6
137,341,7225,POS-кредит,Партнёр (POS),2024-01-20,190000,6,23.9
138,343,4968,Кредитная карта,Мобильное приложение,2024-01-05,470000,24,34.7
139,344,3745,POS-кредит,Отделение,2024-01-07,210000,6,24.9
140,345,1836,POS-кредит,Онлайн-заявка,2024-01-03,410000,12,25.0
141,351,3011,Кредит наличными,Онлайн-заявка,2024-01-12,490000,24,30.2
142,352,295,Кредит наличными,Мобильное приложение,2024-01-20,1680000,48,27.3
143,354,8020,Кредитная карта,Отделение,2024-01-10,440000,12,36.5
144,355,3890,Кредит наличными,Онлайн-заявка,2024-01-10,790000,24,33.6
145,359,10439,Кредитная карта,Отделение,2024-01-06,970000,12,32.9
146,360,9369,Кредит наличными,Отделение,2024-01-11,900000,36,25.0
147,361,3011,Кредит наличными,Партнёр (POS),2024-01-16,1540000,12,25.6
148,368,7095,Кредитная карта,Партнёр (POS),2024-01-14,270000,24,33.7
149,373,10202,POS-кредит,Партнёр (POS),2024-01-07,420000,6,25.7
150,377,11146,POS-кредит,Онлайн-заявка,2024-01-01,230000,6,22.8
151,378,6919,Кредитная карта,Отделение,2024-01-24,430000,24,36.5
152,381,4941,Кредит наличными,Колл-центр,2024-01-16,250000,36,34.7
153,386,1687,Кредит наличными,Партнёр (POS),2024-01-03,700000,12,24.2
154,387,9235,POS-кредит,Мобильное приложение,2024-01-08,160000,18,15.4
155,390,2459,POS-кредит,Партнёр (POS),2024-01-04,140000,12,17.7
156,391,2837,POS-кредит,Отделение,2024-01-20,190000,12,25.0
157,394,6930,POS-кредит,Отделение,2024-01-22,130000,6,22.7
158,395,640,POS-кредит,Отделение,2024-01-25,350000,18,19.9
159,396,94,POS-кредит,Партнёр (POS),2024-01-11,100000,12,17.4
160,397,7676,POS-кредит,Мобильное приложение,2024-01-07,190000,18,22.7
161,400,7252,Кредит наличными,Онлайн-заявка,2024-01-28,1340000,24,26.8
162,406,11536,POS-кредит,Мобильное приложение,2024-01-03,360000,12,20.1
163,409,599,POS-кредит,Партнёр (POS),2024-01-19,210000,6,25.0
164,410,10541,Кредит наличными,Партнёр (POS),2024-01-04,670000,24,30.7
165,416,2776,Кредит наличными,Колл-центр,2024-01-11,970000,48,24.6
166,420,4581,Кредит наличными,Онлайн-заявка,2024-01-01,1200000,36,20.3
167,421,6337,Кредитная карта,Партнёр (POS),2024-01-26,410000,24,32.3
168,423,12,POS-кредит,Мобильное приложение,2024-01-02,130000,18,23.8
169,425,10792,Кредитная карта,Колл-центр,2024-01-12,150000,24,34.0
170,431,3585,POS-кредит,Мобильное приложение,2024-01-12,230000,18,22.2
171,433,2800,POS-кредит,Отделение,2024-01-24,150000,18,23.3
172,435,3011,Кредит наличными,Онлайн-заявка,2024-01-18,1430000,12,28.1
173,439,8899,Кредит наличными,Колл-центр,2024-01-06,350000,48,30.3
174,440,887,Кредитная карта,Отделение,2024-01-04,300000,12,35.4
175,442,295,Кредит наличными,Мобильное приложение,2024-01-25,1390000,36,31.0
176,444,10814,Кредит наличными,Партнёр (POS),2024-01-09,940000,24,19.9
177,449,6886,POS-кредит,Отделение,2024-01-13,190000,18,27.3
178,451,3097,Кредитная карта,Партнёр (POS),2024-01-28,550000,24,34.2
179,455,8988,Кредитная карта,Мобильное приложение,2024-01-20,350000,12,41.6
180,456,4123,POS-кредит,Партнёр (POS),2024-01-13,240000,18,18.0
181,462,1836,POS-кредит,Онлайн-заявка,2024-01-15,340000,18,15.0
182,463,4090,POS-кредит,Партнёр (POS),2024-01-25,220000,18,22.2
183,465,5027,Кредит наличными,Отделение,2024-01-22,930000,36,35.5
184,467,6324,POS-кредит,Мобильное приложение,2024-01-07,270000,18,18.6
185,469,6094,Кредит наличными,Партнёр (POS),2024-01-18,790000,48,29.1
186,470,7860,POS-кредит,Онлайн-заявка,2024-01-05,230000,18,25.5
187,472,6264,Кредит наличными,Онлайн-заявка,2024-01-10,660000,36,30.6
188,473,5175,Кредит наличными,Отделение,2024-01-26,740000,24,23.7
189,476,7166,Кредитная карта,Мобильное приложение,2024-01-16,720000,24,33.0
190,478,7194,POS-кредит,Партнёр (POS),2024-01-22,190000,18,24.7
191,479,10735,Кредитная карта,Отделение,2024-01-19,270000,24,32.3
192,480,9147,POS-кредит,Партнёр (POS),2024-01-17,300000,12,19.9
193,481,6350,Кредит наличными,Мобильное приложение,2024-01-12,340000,48,34.7
194,483,3519,POS-кредит,Отделение,2024-01-05,340000,6,25.4
195,485,6812,Кредитная карта,Колл-центр,2024-01-08,530000,12,34.2
196,486,8410,Кредит наличными,Онлайн-заявка,2024-01-21,1130000,12,21.9
197,487,92,Кредит наличными,Онлайн-заявка,2024-01-10,50000,12,31.5
198,489,2633,Кредит наличными,Партнёр (POS),2024-01-16,1550000,36,22.7
199,490,6415,Кредит наличными,Партнёр (POS),2024-01-06,1030000,36,34.0
200,491,208,Кредитная карта,Онлайн-заявка,2024-01-16,670000,24,37.2
201,492,4495,POS-кредит,Отделение,2024-01-21,220000,18,25.8
202,494,51,Кредит наличными,Партнёр (POS),2024-01-09,590000,12,31.4
203,496,8816,Кредит наличными,Отделение,2024-01-19,480000,24,28.8
204,502,3981,POS-кредит,Мобильное приложение,2024-01-27,150000,18,24.3
205,503,2613,Кредит наличными,Партнёр (POS),2024-01-05,840000,48,29.6
206,505,9592,Кредитная карта,Онлайн-заявка,2024-01-14,180000,24,37.1
207,506,3396,POS-кредит,Мобильное приложение,2024-01-21,460000,18,18.4
208,510,8013,Кредит наличными,Партнёр (POS),2024-01-03,290000,12,26.0
209,511,9246,POS-кредит,Онлайн-заявка,2024-01-25,260000,6,20.9
210,513,10814,Кредит наличными,Партнёр (POS),2024-01-04,600000,48,30.4
211,514,7308,POS-кредит,Партнёр (POS),2024-01-26,310000,12,14.2
212,516,6221,POS-кредит,Онлайн-заявка,2024-01-01,290000,12,24.9
213,525,11884,POS-кредит,Партнёр (POS),2024-01-06,130000,18,25.5
214,526,5531,POS-кредит,Партнёр (POS),2024-01-10,170000,12,21.3
215,528,6682,POS-кредит,Партнёр (POS),2024-01-12,370000,12,22.3
216,530,7152,Кредит наличными,Партнёр (POS),2024-01-10,520000,24,30.5
217,535,2628,Кредит наличными,Партнёр (POS),2024-01-20,580000,12,24.6
218,536,2169,POS-кредит,Мобильное приложение,2024-01-08,510000,6,19.4
219,539,8790,Кредитная карта,Партнёр (POS),2024-01-22,260000,24,32.1
220,541,9688,Кредит наличными,Отделение,2024-01-13,820000,24,27.3
221,544,8757,Кредит наличными,Мобильное приложение,2024-01-13,790000,12,34.0
222,549,5596,POS-кредит,Онлайн-заявка,2024-01-04,230000,6,20.3
223,555,561,Кредит наличными,Онлайн-заявка,2024-01-22,580000,24,17.2
224,558,144,POS-кредит,Мобильное приложение,2024-01-07,420000,6,25.9
225,560,1557,POS-кредит,Мобильное приложение,2024-01-28,370000,12,24.2
226,565,11071,POS-кредит,Партнёр (POS),2024-01-08,330000,12,29.2
227,569,5722,Кредитная карта,Онлайн-заявка,2024-01-27,580000,24,25.5
228,570,3503,Кредит наличными,Мобильное приложение,2024-01-14,940000,12,23.3
229,574,8338,Кредит наличными,Мобильное приложение,2024-01-07,1260000,36,27.2
230,576,5920,Кредитная карта,Отделение,2024-01-03,280000,24,39.5
231,578,10069,Кредитная карта,Отделение,2024-01-22,470000,24,33.3
232,580,8599,POS-кредит,Онлайн-заявка,2024-01-05,530000,12,16.3
233,581,9795,POS-кредит,Партнёр (POS),2024-01-14,230000,18,23.3
234,588,2613,Кредит наличными,Мобильное приложение,2024-01-10,1530000,12,28.4
235,591,320,POS-кредит,Отделение,2024-01-05,250000,6,22.9
236,594,6107,POS-кредит,Мобильное приложение,2024-01-25,150000,18,20.3
237,597,8051,Кредит наличными,Мобильное приложение,2024-01-07,930000,24,27.5
238,599,8873,POS-кредит,Онлайн-заявка,2024-01-13,110000,12,24.6
239,600,363,Кредитная карта,Мобильное приложение,2024-01-25,400000,12,36.5
240,602,3403,Кредит наличными,Партнёр (POS),2024-01-12,790000,24,34.0
241,603,7232,POS-кредит,Отделение,2024-01-27,270000,6,17.9
242,604,3011,Кредит наличными,Партнёр (POS),2024-01-05,660000,12,24.2
243,611,793,POS-кредит,Онлайн-заявка,2024-01-28,260000,12,19.3
244,612,9483,POS-кредит,Колл-центр,2024-01-28,340000,12,25.9
245,617,3690,POS-кредит,Колл-центр,2024-01-14,330000,12,22.4
246,619,9179,Кредит наличными,Мобильное приложение,2024-01-12,280000,12,29.2
247,620,3097,Кредит наличными,Колл-центр,2024-01-24,1400000,12,21.5
248,621,2613,Кредитная карта,Мобильное приложение,2024-01-22,490000,12,38.9
249,622,7230,Кредит наличными,Онлайн-заявка,2024-01-15,830000,48,35.5
250,627,8141,POS-кредит,Отделение,2024-01-09,50000,18,25.6
251,628,8231,Кредитная карта,Партнёр (POS),2024-01-07,530000,24,33.0
252,632,9147,POS-кредит,Отделение,2024-01-25,190000,6,26.1
253,634,2613,Кредит наличными,Отделение,2024-01-14,410000,12,32.6
254,635,9384,POS-кредит,Партнёр (POS),2024-01-08,230000,12,27.1
255,637,1422,POS-кредит,Отделение,2024-01-17,140000,12,24.1
256,638,10895,POS-кредит,Колл-центр,2024-01-09,200000,12,23.8
257,639,11572,Кредит наличными,Партнёр (POS),2024-01-04,690000,24,24.8
258,641,9143,POS-кредит,Отделение,2024-01-05,180000,12,24.4
259,643,4823,Кредитная карта,Партнёр (POS),2024-01-16,490000,12,36.3
260,644,6910,Кредитная карта,Мобильное приложение,2024-01-11,490000,12,32.5
261,645,4055,Кредит наличными,Отделение,2024-01-21,1240000,48,29.2
262,647,6508,POS-кредит,Партнёр (POS),2024-01-25,120000,6,28.3
263,648,684,POS-кредит,Отделение,2024-01-23,130000,12,26.0
264,649,3944,Кредитная карта,Отделение,2024-01-03,500000,12,32.8
265,650,3011,Кредит наличными,Отделение,2024-01-08,480000,36,24.7
266,653,7199,Кредитная карта,Мобильное приложение,2024-01-09,580000,24,31.6
267,655,778,POS-кредит,Онлайн-заявка,2024-01-21,50000,6,27.5
268,657,5736,POS-кредит,Онлайн-заявка,2024-01-09,370000,12,23.8
269,663,1444,Кредитная карта,Отделение,2024-01-25,640000,12,33.6
270,665,2596,POS-кредит,Онлайн-заявка,2024-01-08,390000,6,17.3
271,669,706,POS-кредит,Отделение,2024-01-08,420000,12,19.0
272,670,7352,Кредит наличными,Отделение,2024-01-16,1090000,36,28.9
273,672,9769,Кредит наличными,Партнёр (POS),2024-01-12,350000,36,24.4
274,677,2613,Кредит наличными,Партнёр (POS),2024-01-03,400000,12,26.3
275,687,10439,Кредитная карта,Мобильное приложение,2024-01-27,650000,24,31.8
276,688,2613,Кредит наличными,Отделение,2024-01-24,910000,36,24.6
277,689,4279,Кредитная карта,Мобильное приложение,2024-01-07,280000,24,37.1
278,696,10138,Кредитная карта,Отделение,2024-01-07,810000,24,36.9
279,702,6438,Кредитная карта,Отделение,2024-01-02,620000,24,33.0
280,703,6508,POS-кредит,Отделение,2024-01-20,250000,18,26.0
281,706,3423,Кредит наличными,Отделение,2024-01-09,850000,24,27.7
282,708,3528,Кредит наличными,Партнёр (POS),2024-01-01,1150000,24,26.3
283,709,7373,Кредит наличными,Онлайн-заявка,2024-01-23,770000,24,26.4
284,712,9115,Кредит наличными,Колл-центр,2024-01-11,850000,12,27.6
285,724,4807,POS-кредит,Мобильное приложение,2024-01-26,600000,18,19.2
286,727,6447,Кредит наличными,Отделение,2024-01-05,450000,48,30.6
287,728,9268,POS-кредит,Онлайн-заявка,2024-01-23,470000,12,15.7
288,731,1109,Кредит наличными,Мобильное приложение,2024-01-06,300000,48,32.1
289,732,2613,Кредит наличными,Партнёр (POS),2024-01-17,460000,12,22.8
290,733,9681,Кредит наличными,Онлайн-заявка,2024-01-13,1040000,48,26.1
291,736,7016,Кредит наличными,Онлайн-заявка,2024-01-16,1550000,48,30.5
292,738,7461,POS-кредит,Онлайн-заявка,2024-01-01,310000,18,21.1
293,745,4497,Кредит наличными,Партнёр (POS),2024-01-06,320000,12,24.5
294,746,8407,POS-кредит,Партнёр (POS),2024-01-25,290000,12,17.9
295,749,11149,POS-кредит,Мобильное приложение,2024-01-02,220000,12,19.9
296,752,5354,Кредит наличными,Колл-центр,2024-01-06,1490000,36,35.0
297,754,409,POS-кредит,Партнёр (POS),2024-01-12,210000,6,23.4
298,759,3727,POS-кредит,Мобильное приложение,2024-01-23,130000,18,25.8
299,760,5094,Кредитная карта,Онлайн-заявка,2024-01-04,330000,24,35.1
300,762,5910,Кредитная карта,Партнёр (POS),2024-01-23,230000,12,37.9
301,763,1213,Кредитная карта,Онлайн-заявка,2024-01-19,640000,12,33.2
302,764,11037,POS-кредит,Партнёр (POS),2024-01-13,210000,6,20.4
303,766,3613,POS-кредит,Онлайн-заявка,2024-01-28,240000,6,22.7
304,768,4637,POS-кредит,Партнёр (POS),2024-01-15,220000,12,20.0
305,770,3419,Кредитная карта,Партнёр (POS),2024-01-06,450000,24,33.0
306,772,1153,Кредитная карта,Партнёр (POS),2024-01-08,630000,24,40.6
307,773,10556,Кредит наличными,Колл-центр,2024-01-28,680000,24,26.2
308,783,11238,Кредитная карта,Онлайн-заявка,2024-01-21,140000,12,32.7
309,786,5115,POS-кредит,Онлайн-заявка,2024-01-09,360000,6,20.4
310,791,2613,Кредит наличными,Партнёр (POS),2024-01-13,50000,12,31.4
311,793,11285,POS-кредит,Колл-центр,2024-01-08,190000,12,24.7
312,801,5393,POS-кредит,Партнёр (POS),2024-01-27,210000,6,29.2
313,804,5256,Кредитная карта,Онлайн-заявка,2024-01-14,730000,24,30.5
314,810,1585,Кредитная карта,Партнёр (POS),2024-01-15,250000,12,33.6
315,812,2961,Кредитная карта,Отделение,2024-01-06,850000,24,36.9
316,815,2186,POS-кредит,Онлайн-заявка,2024-01-08,390000,12,16.9
317,818,11947,Кредитная карта,Онлайн-заявка,2024-01-15,440000,24,39.1
318,821,8435,Кредит наличными,Онлайн-заявка,2024-01-08,1440000,48,27.6
319,825,11679,POS-кредит,Партнёр (POS),2024-01-10,270000,6,23.6
320,826,837,Кредитная карта,Отделение,2024-01-13,360000,12,33.9
321,831,10503,Кредит наличными,Партнёр (POS),2024-01-24,1290000,36,32.9
322,840,6174,POS-кредит,Отделение,2024-01-04,50000,6,22.5
323,845,10134,Кредит наличными,Партнёр (POS),2024-01-08,850000,48,27.4
324,847,2613,Кредит наличными,Отделение,2024-01-13,50000,24,26.8
325,849,11267,Кредит наличными,Мобильное приложение,2024-01-27,610000,12,25.8
326,853,11515,POS-кредит,Отделение,2024-01-04,90000,6,22.5
327,859,8753,POS-кредит,Партнёр (POS),2024-01-12,330000,12,22.2
328,861,8860,Кредитная карта,Мобильное приложение,2024-01-21,650000,12,37.7
329,864,1974,Кредитная карта,Онлайн-заявка,2024-01-20,750000,12,31.8
330,866,7352,Кредит наличными,Мобильное приложение,2024-01-11,510000,36,32.4
331,871,6382,Кредит наличными,Отделение,2024-01-23,430000,48,28.0
332,873,9411,Кредит наличными,Отделение,2024-01-26,50000,36,29.5
333,876,5366,Кредит наличными,Отделение,2024-01-02,570000,36,33.6
334,877,1702,Кредит наличными,Партнёр (POS),2024-01-02,720000,24,31.1
335,878,2613,Кредит наличными,Отделение,2024-01-15,1560000,36,28.5
336,880,6582,Кредитная карта,Мобильное приложение,2024-01-09,530000,24,34.3
337,881,7100,Кредит наличными,Отделение,2024-01-27,960000,12,23.9
338,883,3583,POS-кредит,Партнёр (POS),2024-01-17,420000,6,24.7
339,888,5416,Кредит наличными,Мобильное приложение,2024-01-02,300000,36,29.8
340,889,9867,Кредит наличными,Колл-центр,2024-01-23,120000,48,29.6
341,894,11790,Кредитная карта,Отделение,2024-01-12,420000,24,30.0
342,895,11492,POS-кредит,Онлайн-заявка,2024-01-08,350000,18,24.1
343,901,9116,POS-кредит,Онлайн-заявка,2024-01-09,250000,6,17.4
344,902,6172,POS-кредит,Мобильное приложение,2024-01-12,160000,12,19.9
345,903,4626,Кредитная карта,Отделение,2024-01-26,350000,24,38.8
346,904,2613,Кредитная карта,Отделение,2024-01-23,540000,12,34.7
347,906,9495,Кредитная карта,Отделение,2024-01-24,280000,24,33.6
348,907,516,POS-кредит,Колл-центр,2024-01-05,160000,6,23.8
349,909,3795,Кредит наличными,Мобильное приложение,2024-01-04,730000,12,32.9
350,911,10238,Кредитная карта,Отделение,2024-01-02,340000,12,27.9
351,914,9585,Кредитная карта,Отделение,2024-01-28,540000,12,31.3
352,915,749,POS-кредит,Партнёр (POS),2024-01-19,50000,6,20.2
353,917,295,Кредитная карта,Партнёр (POS),2024-01-22,380000,12,29.4
354,918,2618,Кредитная карта,Онлайн-заявка,2024-01-11,520000,24,31.5
355,919,2395,POS-кредит,Партнёр (POS),2024-01-24,290000,6,20.8
356,921,3471,POS-кредит,Партнёр (POS),2024-01-14,240000,18,20.4
357,923,243,Кредитная карта,Отделение,2024-01-04,410000,24,38.2
358,924,11327,Кредит наличными,Колл-центр,2024-01-25,670000,12,28.8
359,927,1140,POS-кредит,Отделение,2024-01-16,250000,18,27.7
360,928,2153,Кредитная карта,Партнёр (POS),2024-01-01,320000,12,31.2
361,929,11550,Кредитная карта,Онлайн-заявка,2024-01-03,650000,24,31.9
