app_id,client_id,apply_date,channel,product,requested_amount,decision,reject_reason,approved_amount,is_issued
23,404,2024-01-21,Онлайн-заявка,Кредитная карта,580000,Одобрено,,410000,1
24,5120,2024-01-04,Отделение,Кредит наличными,1110000,Одобрено,,1110000,1
25,295,2024-01-10,Отделение,Кредит наличными,710000,Одобрено,,710000,0
26,295,2024-01-07,Мобильное приложение,Кредитная карта,430000,Отказ,Высокая долговая нагрузка,0,0
27,3286,2024-01-07,Партнёр (POS),Кредитная карта,1030000,Одобрено,,1030000,1
28,9015,2024-01-06,Колл-центр,Кредит наличными,830000,Одобрено,,830000,0
29,7709,2024-01-27,Онлайн-заявка,POS-кредит,530000,Одобрено,,530000,1
30,295,2024-01-14,Онлайн-заявка,Кредит наличными,1720000,Одобрено,,1720000,1
31,8585,2024-01-13,Онлайн-заявка,Кредит наличными,710000,Отказ,Высокая долговая нагрузка,0,0
32,10414,2024-01-20,Партнёр (POS),POS-кредит,90000,Одобрено,,60000,1
33,5541,2024-01-14,Мобильное приложение,Кредитная карта,320000,Одобрено,,320000,1
34,3585,2024-01-17,Отделение,Кредитная карта,660000,Одобрено,,660000,1
35,9356,2024-01-02,Мобильное приложение,Кредит наличными,820000,Отказ,Высокая долговая нагрузка,0,0
36,10021,2024-01-25,Партнёр (POS),Кредитная карта,470000,Отказ,Высокая долговая нагрузка,0,0
37,3981,2024-01-13,Мобильное приложение,Кредитная карта,420000,Отказ,Высокая долговая нагрузка,0,0
38,1996,2024-01-28,Партнёр (POS),Кредитная карта,350000,Одобрено,,290000,1
39,8320,2024-01-21,Партнёр (POS),POS-кредит,260000,Отказ,Низкий скоринговый балл,0,0
40,9147,2024-01-28,Отделение,POS-кредит,130000,Одобрено,,130000,1
41,5390,2024-01-14,Мобильное приложение,Кредит наличными,1540000,Отказ,Недостаточная кредитная история,0,0
42,9972,2024-01-10,Партнёр (POS),Кредит наличными,1290000,Отказ,Недостаточный подтверждённый доход,0,0
43,7220,2024-01-20,Онлайн-заявка,Кредитная карта,540000,Одобрено,,440000,0
44,4607,2024-01-04,Партнёр (POS),POS-кредит,150000,Отказ,Недостаточная кредитная история,0,0
45,1634,2024-01-15,Партнёр (POS),Кредит наличными,1200000,Одобрено,,1200000,1
46,1920,2024-01-07,Онлайн-заявка,POS-кредит,510000,Одобрено,,510000,0
47,2562,2024-01-28,Колл-центр,POS-кредит,330000,Отказ,Несоответствие политике банка,0,0
48,374,2024-01-15,Отделение,POS-кредит,290000,Одобрено,,290000,1
49,11808,2024-01-06,Мобильное приложение,Кредит наличными,640000,Одобрено,,640000,1
50,10997,2024-01-09,Колл-центр,POS-кредит,130000,Отказ,Высокая долговая нагрузка,0,0
51,2613,2024-01-16,Колл-центр,Кредит наличными,840000,Отказ,Недостаточный подтверждённый доход,0,0
52,7885,2024-01-21,Партнёр (POS),Кредитная карта,540000,Отказ,Высокая долговая нагрузка,0,0
53,9535,2024-01-14,Партнёр (POS),Кредит наличными,970000,Отказ,Низкий скоринговый балл,0,0
54,3964,2024-01-15,Партнёр (POS),Кредитная карта,840000,Одобрено,,840000,1
55,6741,2024-01-18,Онлайн-заявка,Кредит наличными,1300000,Отказ,Низкий скоринговый балл,0,0
56,4652,2024-01-14,Партнёр (POS),Кредитная карта,760000,Одобрено,,430000,1
57,1736,2024-01-15,Отделение,Кредит наличными,830000,Отказ,Низкий скоринговый балл,0,0
58,1836,2024-01-25,Онлайн-заявка,POS-кредит,160000,Отказ,Действующая просрочка,0,0
59,2613,2024-01-01,Отделение,Кредит наличными,690000,Отказ,Высокая долговая нагрузка,0,0
60,7535,2024-01-10,Партнёр (POS),Кредит наличными,930000,Одобрено,,930000,1
61,9389,2024-01-19,Онлайн-заявка,POS-кредит,330000,Отказ,Низкий скоринговый балл,0,0
62,4315,2024-01-19,Онлайн-заявка,POS-кредит,180000,Одобрено,,180000,1
63,3008,2024-01-10,Партнёр (POS),Кредит наличными,1000000,Одобрено,,500000,0
64,3722,2024-01-05,Онлайн-заявка,Кредит наличными,820000,Отказ,Недостаточный подтверждённый доход,0,0
65,1275,2024-01-15,Отделение,Кредит наличными,1200000,Отказ,Недостаточный подтверждённый доход,0,0
66,1974,2024-01-28,Отделение,Кредитная карта,790000,Одобрено,,560000,0
67,2858,2024-01-18,Онлайн-заявка,Кредит наличными,510000,Одобрено,,430000,1
68,4498,2024-01-03,Партнёр (POS),POS-кредит,100000,Одобрено,,100000,1
69,9350,2024-01-04,Онлайн-заявка,Кредитная карта,830000,Отказ,Низкий скоринговый балл,0,0
70,2613,2024-01-25,Онлайн-заявка,Кредитная карта,490000,Отказ,Низкий скоринговый балл,0,0
71,11796,2024-01-28,Отделение,Кредитная карта,470000,Одобрено,,470000,1
72,5231,2024-01-25,Отделение,POS-кредит,460000,Одобрено,,460000,1
73,7826,2024-01-25,Мобильное приложение,Кредитная карта,390000,Одобрено,,340000,1
74,9665,2024-01-14,Онлайн-заявка,Кредитная карта,210000,Отказ,Высокая долговая нагрузка,0,0
75,9864,2024-01-05,Партнёр (POS),Кредит наличными,1020000,Одобрено,,630000,1
76,5044,2024-01-16,Онлайн-заявка,Кредит наличными,530000,Отказ,Действующая просрочка,0,0
77,3772,2024-01-08,Партнёр (POS),POS-кредит,230000,Отказ,Недостаточный подтверждённый доход,0,0
78,3242,2024-01-11,Онлайн-заявка,Кредитная карта,330000,Отказ,Низкий скоринговый балл,0,0
79,1697,2024-01-07,Колл-центр,Кредитная карта,390000,Одобрено,,390000,1
80,2502,2024-01-26,Отделение,Кредитная карта,710000,Одобрено,,710000,1
81,6388,2024-01-05,Онлайн-заявка,POS-кредит,60000,Отказ,Высокая долговая нагрузка,0,0
82,8820,2024-01-26,Колл-центр,Кредит наличными,1260000,Отказ,Низкий скоринговый балл,0,0
83,2901,2024-01-06,Онлайн-заявка,POS-кредит,230000,Одобрено,,180000,0
84,5676,2024-01-20,Мобильное приложение,POS-кредит,190000,Одобрено,,190000,1
85,578,2024-01-12,Отделение,POS-кредит,290000,Одобрено,,290000,1
86,3178,2024-01-04,Отделение,POS-кредит,320000,Одобрено,,240000,1
87,6920,2024-01-20,Колл-центр,Кредит наличными,1200000,Отказ,Высокая долговая нагрузка,0,0
88,11164,2024-01-12,Мобильное приложение,Кредит наличными,1580000,Отказ,Действующая просрочка,0,0
89,5331,2024-01-26,Онлайн-заявка,Кредит наличными,1290000,Отказ,Действующая просрочка,0,0
90,10648,2024-01-03,Отделение,Кредит наличными,950000,Отказ,Недостаточный подтверждённый доход,0,0
91,7352,2024-01-09,Партнёр (POS),Кредит наличными,300000,Одобрено,,300000,1
92,9482,2024-01-15,Отделение,POS-кредит,460000,Отказ,Низкий скоринговый балл,0,0
93,8200,2024-01-28,Мобильное приложение,Кредитная карта,630000,Одобрено,,630000,1
94,2505,2024-01-23,Партнёр (POS),Кредит наличными,950000,Одобрено,,510000,1
95,9147,2024-01-03,Мобильное приложение,POS-кредит,510000,Отказ,Высокая долговая нагрузка,0,0
96,11997,2024-01-05,Колл-центр,POS-кредит,420000,Одобрено,,270000,1
97,2613,2024-01-03,Мобильное приложение,Кредит наличными,930000,Отказ,Недостаточный подтверждённый доход,0,0
98,1291,2024-01-28,Онлайн-заявка,Кредит наличными,970000,Одобрено,,730000,1
99,276,2024-01-11,Мобильное приложение,Кредит наличными,1310000,Одобрено,,1310000,0
100,10965,2024-01-02,Партнёр (POS),POS-кредит,480000,Одобрено,,400000,1
101,3011,2024-01-25,Партнёр (POS),Кредит наличными,1100000,Одобрено,,1100000,1
102,9774,2024-01-17,Отделение,Кредит наличными,1280000,Одобрено,,1280000,1
103,7890,2024-01-12,Отделение,POS-кредит,50000,Одобрено,,50000,1
104,7238,2024-01-08,Партнёр (POS),Кредит наличными,1710000,Отказ,Низкий скоринговый балл,0,0
105,2672,2024-01-25,Партнёр (POS),Кредит наличными,50000,Отказ,Недостаточный подтверждённый доход,0,0
106,1777,2024-01-24,Партнёр (POS),Кредит наличными,50000,Одобрено,,50000,1
107,9115,2024-01-18,Мобильное приложение,Кредит наличными,1550000,Отказ,Недостаточная кредитная история,0,0
108,8347,2024-01-09,Мобильное приложение,POS-кредит,430000,Одобрено,,430000,1
109,6223,2024-01-26,Мобильное приложение,Кредит наличными,250000,Отказ,Высокая долговая нагрузка,0,0
110,11167,2024-01-21,Онлайн-заявка,Кредитная карта,230000,Отказ,Высокая долговая нагрузка,0,0
111,1813,2024-01-02,Отделение,Кредитная карта,620000,Отказ,Низкий скоринговый балл,0,0
112,2613,2024-01-13,Онлайн-заявка,Кредитная карта,560000,Отказ,Действующая просрочка,0,0
113,2580,2024-01-06,Отделение,POS-кредит,420000,Одобрено,,420000,1
114,3956,2024-01-15,Партнёр (POS),Кредит наличными,1440000,Отказ,Недостаточный подтверждённый доход,0,0
115,188,2024-01-16,Партнёр (POS),POS-кредит,380000,Отказ,Недостаточный подтверждённый доход,0,0
116,5513,2024-01-01,Отделение,Кредит наличными,670000,Одобрено,,340000,1
117,8818,2024-01-15,Партнёр (POS),Кредитная карта,420000,Одобрено,,420000,1
118,6700,2024-01-23,Онлайн-заявка,Кредит наличными,740000,Одобрено,,740000,1
119,8916,2024-01-19,Мобильное приложение,Кредитная карта,550000,Одобрено,,320000,1
120,2305,2024-01-15,Онлайн-заявка,Кредитная карта,660000,Отказ,Высокая долговая нагрузка,0,0
121,8097,2024-01-22,Отделение,Кредит наличными,680000,Одобрено,,370000,1
122,6439,2024-01-20,Онлайн-заявка,POS-кредит,240000,Отказ,Действующая просрочка,0,0
123,3385,2024-01-18,Мобильное приложение,Кредит наличными,1210000,Отказ,Высокая долговая нагрузка,0,0
124,1413,2024-01-12,Отделение,POS-кредит,260000,Одобрено,,260000,1
125,11536,2024-01-05,Мобильное приложение,POS-кредит,70000,Одобрено,,70000,0
126,295,2024-01-04,Онлайн-заявка,Кредит наличными,820000,Отказ,Низкий скоринговый балл,0,0
127,4713,2024-01-21,Онлайн-заявка,Кредит наличными,1230000,Отказ,Недостаточная кредитная история,0,0
128,7860,2024-01-21,Отделение,Кредит наличными,170000,Отказ,Высокая долговая нагрузка,0,0
129,7678,2024-01-09,Отделение,POS-кредит,290000,Одобрено,,290000,1
130,5924,2024-01-27,Онлайн-заявка,POS-кредит,320000,Отказ,Высокая долговая нагрузка,0,0
131,6508,2024-01-21,Онлайн-заявка,POS-кредит,70000,Отказ,Высокая долговая нагрузка,0,0
132,5401,2024-01-23,Онлайн-заявка,Кредитная карта,530000,Отказ,Низкий скоринговый балл,0,0
133,11577,2024-01-10,Отделение,Кредит наличными,1180000,Одобрено,,1180000,1
134,6439,2024-01-18,Мобильное приложение,Кредитная карта,440000,Отказ,Высокая долговая нагрузка,0,0
135,6937,2024-01-09,Мобильное приложение,POS-кредит,110000,Отказ,Недостаточный подтверждённый доход,0,0
136,460,2024-01-15,Мобильное приложение,Кредит наличными,920000,Отказ,Высокая долговая нагрузка,0,0
137,2526,2024-01-02,Мобильное приложение,Кредит наличными,50000,Отказ,Низкий скоринговый балл,0,0
138,3046,2024-01-26,Мобильное приложение,Кредитная карта,570000,Отказ,Действующая просрочка,0,0
139,11199,2024-01-11,Отделение,Кредитная карта,490000,Отказ,Действующая просрочка,0,0
140,3493,2024-01-20,Мобильное приложение,Кредитная карта,510000,Отказ,Высокая долговая нагрузка,0,0
141,11171,2024-01-04,Отделение,POS-кредит,290000,Отказ,Низкий скоринговый балл,0,0
142,9907,2024-01-04,Колл-центр,POS-кредит,330000,Одобрено,,330000,1
143,3863,2024-01-18,Отделение,Кредитная карта,660000,Одобрено,,560000,1
144,3877,2024-01-05,Партнёр (POS),POS-кредит,100000,Отказ,Несоответствие политике банка,0,0
145,1271,2024-01-23,Отделение,Кредит наличными,1260000,Одобрено,,1260000,1
146,1221,2024-01-02,Мобильное приложение,POS-кредит,340000,Одобрено,,200000,1
147,10299,2024-01-12,Мобильное приложение,Кредит наличными,1040000,Отказ,Высокая долговая нагрузка,0,0
148,9369,2024-01-28,Отделение,Кредит наличными,1620000,Одобрено,,1620000,1
149,10866,2024-01-04,Отделение,Кредит наличными,620000,Отказ,Недостаточный подтверждённый доход,0,0
150,55,2024-01-05,Отделение,Кредит наличными,760000,Одобрено,,760000,1
151,2604,2024-01-28,Онлайн-заявка,POS-кредит,190000,Отказ,Высокая долговая нагрузка,0,0
152,9828,2024-01-08,Отделение,Кредит наличными,1520000,Отказ,Низкий скоринговый балл,0,0
153,3011,2024-01-16,Онлайн-заявка,Кредит наличными,660000,Отказ,Низкий скоринговый балл,0,0
154,708,2024-01-20,Онлайн-заявка,Кредит наличными,740000,Одобрено,,590000,0
155,5480,2024-01-25,Онлайн-заявка,Кредитная карта,570000,Отказ,Низкий скоринговый балл,0,0
156,147,2024-01-01,Отделение,Кредитная карта,650000,Одобрено,,650000,1
157,2613,2024-01-22,Отделение,Кредит наличными,1150000,Одобрено,,600000,1
158,7171,2024-01-01,Отделение,Кредит наличными,310000,Одобрено,,160000,1
159,5154,2024-01-12,Отделение,Кредитная карта,270000,Одобрено,,270000,1
160,1141,2024-01-22,Отделение,Кредит наличными,1210000,Отказ,Недостаточный подтверждённый доход,0,0
161,7073,2024-01-12,Мобильное приложение,POS-кредит,170000,Одобрено,,170000,1
162,980,2024-01-22,Колл-центр,POS-кредит,280000,Отказ,Недостаточный подтверждённый доход,0,0
163,3285,2024-01-04,Онлайн-заявка,POS-кредит,280000,Одобрено,,280000,1
164,298,2024-01-12,Партнёр (POS),POS-кредит,400000,Одобрено,,400000,1
165,6998,2024-01-26,Партнёр (POS),Кредит наличными,940000,Одобрено,,940000,1
166,2613,2024-01-24,Партнёр (POS),POS-кредит,220000,Одобрено,,180000,1
167,5396,2024-01-12,Отделение,Кредит наличными,670000,Отказ,Высокая долговая нагрузка,0,0
168,6849,2024-01-11,Мобильное приложение,POS-кредит,280000,Отказ,Низкий скоринговый балл,0,0
169,938,2024-01-26,Партнёр (POS),POS-кредит,290000,Отказ,Низкий скоринговый балл,0,0
170,8965,2024-01-08,Партнёр (POS),Кредит наличными,1660000,Одобрено,,1660000,1
171,3350,2024-01-04,Онлайн-заявка,Кредит наличными,700000,Отказ,Низкий скоринговый балл,0,0
172,6508,2024-01-04,Партнёр (POS),POS-кредит,50000,Одобрено,,50000,1
173,9551,2024-01-16,Партнёр (POS),Кредит наличными,1050000,Одобрено,,1050000,1
174,6337,2024-01-15,Колл-центр,Кредитная карта,510000,Отказ,Недостаточная кредитная история,0,0
175,9306,2024-01-05,Партнёр (POS),Кредитная карта,680000,Отказ,Действующая просрочка,0,0
176,8214,2024-01-02,Мобильное приложение,POS-кредит,490000,Одобрено,,290000,1
177,2613,2024-01-04,Отделение,Кредит наличными,1190000,Отказ,Несоответствие политике банка,0,0
178,10439,2024-01-26,Партнёр (POS),Кредитная карта,330000,Одобрено,,330000,0
179,4890,2024-01-24,Партнёр (POS),Кредит наличными,840000,Одобрено,,840000,1
180,6689,2024-01-07,Отделение,POS-кредит,200000,Одобрено,,200000,1
181,3011,2024-01-06,Онлайн-заявка,Кредит наличными,50000,Отказ,Действующая просрочка,0,0
182,11446,2024-01-18,Мобильное приложение,POS-кредит,150000,Одобрено,,150000,1
183,7660,2024-01-07,Мобильное приложение,POS-кредит,330000,Одобрено,,330000,1
184,10851,2024-01-27,Партнёр (POS),Кредитная карта,960000,Одобрено,,960000,1
185,10288,2024-01-28,Онлайн-заявка,Кредитная карта,580000,Отказ,Высокая долговая нагрузка,0,0
186,2613,2024-01-12,Отделение,POS-кредит,370000,Отказ,Недостаточная кредитная история,0,0
187,2938,2024-01-15,Онлайн-заявка,Кредитная карта,570000,Отказ,Высокая долговая нагрузка,0,0
188,2329,2024-01-26,Партнёр (POS),POS-кредит,240000,Одобрено,,240000,1
189,10216,2024-01-27,Онлайн-заявка,POS-кредит,260000,Отказ,Высокая долговая нагрузка,0,0
190,1836,2024-01-14,Партнёр (POS),Кредитная карта,570000,Отказ,Высокая долговая нагрузка,0,0
191,9116,2024-01-15,Онлайн-заявка,POS-кредит,330000,Одобрено,,330000,1
192,9156,2024-01-14,Партнёр (POS),POS-кредит,260000,Одобрено,,260000,1
193,6939,2024-01-09,Отделение,Кредит наличными,570000,Одобрено,,570000,1
194,9369,2024-01-11,Онлайн-заявка,Кредит наличными,1420000,Одобрено,,1420000,0
195,11924,2024-01-09,Партнёр (POS),POS-кредит,220000,Одобрено,,220000,1
196,11579,2024-01-06,Отделение,POS-кредит,290000,Отказ,Недостаточный подтверждённый доход,0,0
197,7588,2024-01-11,Партнёр (POS),Кредитная карта,560000,Отказ,Недостаточный подтверждённый доход,0,0
198,6541,2024-01-04,Онлайн-заявка,Кредит наличными,710000,Отказ,Высокая долговая нагрузка,0,0
199,1763,2024-01-21,Онлайн-заявка,Кредит наличными,1190000,Отказ,Действующая просрочка,0,0
200,5121,2024-01-23,Онлайн-заявка,POS-кредит,430000,Отказ,Высокая долговая нагрузка,0,0
201,3981,2024-01-13,Колл-центр,POS-кредит,260000,Отказ,Недостаточная кредитная история,0,0
202,5155,2024-01-13,Мобильное приложение,POS-кредит,260000,Отказ,Высокая долговая нагрузка,0,0
203,919,2024-01-28,Партнёр (POS),Кредитная карта,480000,Отказ,Недостаточный подтверждённый доход,0,0
204,1333,2024-01-26,Партнёр (POS),POS-кредит,440000,Одобрено,,360000,1
205,5095,2024-01-27,Партнёр (POS),Кредит наличными,350000,Отказ,Низкий скоринговый балл,0,0
206,1851,2024-01-25,Партнёр (POS),Кредит наличными,420000,Одобрено,,420000,1
207,11414,2024-01-10,Партнёр (POS),POS-кредит,420000,Одобрено,,330000,1
208,3438,2024-01-22,Мобильное приложение,POS-кредит,340000,Одобрено,,340000,1
209,7441,2024-01-15,Партнёр (POS),Кредитная карта,460000,Одобрено,,460000,1
210,633,2024-01-19,Мобильное приложение,Кредитная карта,710000,Отказ,Высокая долговая нагрузка,0,0
211,11370,2024-01-24,Партнёр (POS),POS-кредит,290000,Одобрено,,290000,1
212,3981,2024-01-11,Партнёр (POS),POS-кредит,390000,Отказ,Недостаточный подтверждённый доход,0,0
213,11020,2024-01-21,Колл-центр,Кредитная карта,800000,Отказ,Действующая просрочка,0,0
214,8004,2024-01-11,Отделение,Кредитная карта,370000,Одобрено,,370000,1
215,6237,2024-01-03,Колл-центр,Кредитная карта,580000,Отказ,Высокая долговая нагрузка,0,0
216,11317,2024-01-05,Мобильное приложение,Кредит наличными,1400000,Одобрено,,1400000,0
217,2613,2024-01-27,Партнёр (POS),Кредит наличными,1250000,Одобрено,,1250000,1
218,1818,2024-01-01,Онлайн-заявка,POS-кредит,460000,Отказ,Высокая долговая нагрузка,0,0
219,3779,2024-01-24,Партнёр (POS),POS-кредит,70000,Одобрено,,70000,1
220,1218,2024-01-21,Онлайн-заявка,Кредит наличными,1300000,Отказ,Высокая долговая нагрузка,0,0
221,11285,2024-01-05,Онлайн-заявка,POS-кредит,300000,Отказ,Низкий скоринговый балл,0,0
222,1303,2024-01-03,Партнёр (POS),POS-кредит,370000,Одобрено,,190000,1
223,8491,2024-01-15,Онлайн-заявка,Кредитная карта,550000,Одобрено,,550000,1
224,7091,2024-01-05,Отделение,Кредитная карта,480000,Одобрено,,320000,1
225,2613,2024-01-17,Партнёр (POS),Кредит наличными,1570000,Отказ,Высокая долговая нагрузка,0,0
226,4453,2024-01-20,Отделение,POS-кредит,50000,Одобрено,,50000,1
227,2458,2024-01-13,Партнёр (POS),Кредит наличными,730000,Одобрено,,730000,1
228,7457,2024-01-21,Колл-центр,POS-кредит,280000,Одобрено,,280000,0
229,10814,2024-01-21,Мобильное приложение,Кредит наличными,430000,Отказ,Действующая просрочка,0,0
230,2613,2024-01-05,Партнёр (POS),Кредит наличными,1100000,Отказ,Низкий скоринговый балл,0,0
231,10372,2024-01-01,Отделение,Кредитная карта,560000,Отказ,Низкий скоринговый балл,0,0
232,1508,2024-01-12,Отделение,POS-кредит,150000,Одобрено,,150000,1
233,9147,2024-01-17,Отделение,POS-кредит,340000,Одобрено,,340000,1
234,3631,2024-01-25,Онлайн-заявка,Кредит наличными,1330000,Одобрено,,1330000,1
235,2613,2024-01-23,Мобильное приложение,Кредит наличными,1390000,Отказ,Недостаточный подтверждённый доход,0,0
236,5105,2024-01-26,Партнёр (POS),POS-кредит,400000,Одобрено,,300000,1
237,10439,2024-01-13,Колл-центр,Кредитная карта,430000,Одобрено,,430000,0
238,2613,2024-01-01,Онлайн-заявка,Кредит наличными,1280000,Отказ,Низкий скоринговый балл,0,0
239,460,2024-01-17,Мобильное приложение,Кредит наличными,1400000,Одобрено,,1400000,1
240,206,2024-01-04,Партнёр (POS),Кредит наличными,1220000,Одобрено,,1220000,1
241,7477,2024-01-09,Партнёр (POS),Кредитная карта,430000,Отказ,Низкий скоринговый балл,0,0
242,4521,2024-01-24,Онлайн-заявка,Кредит наличными,530000,Одобрено,,530000,1
243,1412,2024-01-22,Отделение,POS-кредит,300000,Одобрено,,300000,0
244,10910,2024-01-27,Партнёр (POS),Кредитная карта,730000,Отказ,Высокая долговая нагрузка,0,0
245,5695,2024-01-12,Партнёр (POS),Кредитная карта,290000,Одобрено,,250000,1
246,11009,2024-01-11,Отделение,Кредитная карта,550000,Одобрено,,550000,1
247,10200,2024-01-19,Партнёр (POS),POS-кредит,430000,Одобрено,,260000,0
248,7470,2024-01-01,Партнёр (POS),POS-кредит,510000,Отказ,Недостаточный подтверждённый доход,0,0
249,1221,2024-01-27,Колл-центр,POS-кредит,200000,Одобрено,,200000,1
250,295,2024-01-20,Мобильное приложение,Кредит наличными,860000,Отказ,Высокая долговая нагрузка,0,0
251,7638,2024-01-21,Онлайн-заявка,POS-кредит,100000,Одобрено,,100000,0
252,1269,2024-01-10,Онлайн-заявка,Кредитная карта,500000,Одобрено,,500000,1
253,3162,2024-01-09,Мобильное приложение,POS-кредит,360000,Отказ,Недостаточный подтверждённый доход,0,0
254,4569,2024-01-18,Отделение,Кредит наличными,1490000,Отказ,Высокая долговая нагрузка,0,0
255,4313,2024-01-22,Партнёр (POS),POS-кредит,110000,Отказ,Низкий скоринговый балл,0,0
256,8867,2024-01-18,Мобильное приложение,POS-кредит,90000,Одобрено,,90000,0
257,8286,2024-01-22,Отделение,POS-кредит,210000,Отказ,Несоответствие политике банка,0,0
258,6508,2024-01-12,Мобильное приложение,Кредит наличными,190000,Отказ,Высокая долговая нагрузка,0,0
259,1429,2024-01-25,Партнёр (POS),Кредитная карта,650000,Одобрено,,650000,1
260,6889,2024-01-03,Партнёр (POS),POS-кредит,480000,Одобрено,,480000,1
261,4195,2024-01-27,Партнёр (POS),Кредит наличными,1180000,Отказ,Недостаточный подтверждённый доход,0,0
262,941,2024-01-04,Партнёр (POS),POS-кредит,270000,Одобрено,,270000,1
263,11550,2024-01-20,Онлайн-заявка,Кредитная карта,320000,Отказ,Действующая просрочка,0,0
264,1276,2024-01-06,Мобильное приложение,Кредит наличными,860000,Одобрено,,860000,1
265,1556,2024-01-06,Отделение,Кредит наличными,1140000,Одобрено,,1140000,1
266,6650,2024-01-09,Онлайн-заявка,POS-кредит,210000,Отказ,Низкий скоринговый балл,0,0
267,11369,2024-01-11,Мобильное приложение,POS-кредит,220000,Одобрено,,220000,1
268,10439,2024-01-18,Отделение,Кредитная карта,690000,Отказ,Недостаточная кредитная история,0,0
269,11078,2024-01-13,Онлайн-заявка,Кредит наличными,630000,Отказ,Высокая долговая нагрузка,0,0
270,10814,2024-01-10,Партнёр (POS),Кредитная карта,510000,Отказ,Недостаточный подтверждённый доход,0,0
271,2754,2024-01-05,Мобильное приложение,Кредитная карта,600000,Одобрено,,430000,0
272,7531,2024-01-16,Колл-центр,Кредит наличными,900000,Отказ,Действующая просрочка,0,0
273,10880,2024-01-28,Онлайн-заявка,POS-кредит,240000,Одобрено,,240000,0
274,8511,2024-01-25,Онлайн-заявка,Кредит наличными,1440000,Отказ,Недостаточный подтверждённый доход,0,0
275,9591,2024-01-20,Колл-центр,Кредитная карта,640000,Одобрено,,640000,0
276,9352,2024-01-22,Онлайн-заявка,POS-кредит,50000,Отказ,Низкий скоринговый балл,0,0
277,8245,2024-01-20,Мобильное приложение,Кредитная карта,670000,Одобрено,,670000,0
278,4641,2024-01-28,Мобильное приложение,Кредит наличными,880000,Отказ,Низкий скоринговый балл,0,0
279,3498,2024-01-08,Мобильное приложение,POS-кредит,200000,Отказ,Действующая просрочка,0,0
280,1492,2024-01-14,Колл-центр,Кредит наличными,1240000,Одобрено,,1240000,1
281,10516,2024-01-08,Партнёр (POS),Кредитная карта,660000,Отказ,Низкий скоринговый балл,0,0
282,1003,2024-01-19,Мобильное приложение,Кредитная карта,810000,Отказ,Низкий скоринговый балл,0,0
283,4938,2024-01-04,Партнёр (POS),Кредитная карта,520000,Одобрено,,520000,1
284,4643,2024-01-01,Онлайн-заявка,Кредит наличными,450000,Отказ,Высокая долговая нагрузка,0,0
285,3227,2024-01-21,Отделение,POS-кредит,390000,Одобрено,,240000,1
286,1218,2024-01-06,Онлайн-заявка,Кредитная карта,470000,Отказ,Высокая долговая нагрузка,0,0
287,8398,2024-01-27,Мобильное приложение,Кредитная карта,320000,Одобрено,,320000,1
288,9147,2024-01-07,Партнёр (POS),POS-кредит,440000,Отказ,Высокая долговая нагрузка,0,0
289,8283,2024-01-03,Мобильное приложение,Кредитная карта,510000,Отказ,Высокая долговая нагрузка,0,0
290,6508,2024-01-26,Онлайн-заявка,POS-кредит,130000,Отказ,Низкий скоринговый балл,0,0
291,3011,2024-01-20,Мобильное приложение,Кредит наличными,850000,Одобрено,,490000,0
292,2161,2024-01-04,Отделение,POS-кредит,390000,Одобрено,,390000,1
