client_id,age_group,region,income_band,client_since
80,45-54,Астана,200-400к,2022-04-08
81,35-44,Павлодар,200-400к,2024-07-16
82,25-34,Павлодар,700к+,2023-11-27
83,45-54,Астана,200-400к,2022-06-07
84,25-34,Караганда,до 200к,2021-08-31
85,18-24,Павлодар,200-400к,2021-07-09
86,18-24,Актобе,200-400к,2025-02-12
87,35-44,Караганда,200-400к,2020-09-08
88,25-34,Алматы,400-700к,2020-12-04
89,25-34,Алматы,до 200к,2021-06-07
90,35-44,Шымкент,до 200к,2024-07-24
91,25-34,Шымкент,до 200к,2023-10-08
92,35-44,Алматы,400-700к,2025-04-17
93,25-34,Астана,400-700к,2023-12-14
94,25-34,Астана,200-400к,2022-09-10
95,25-34,Астана,200-400к,2020-03-21
96,35-44,Астана,700к+,2024-10-19
97,25-34,Астана,400-700к,2023-09-01
98,18-24,Алматы,200-400к,2020-05-23
99,18-24,Атырау,400-700к,2025-04-25
100,55+,Шымкент,700к+,2023-05-26
101,45-54,Алматы,200-400к,2023-05-24
102,35-44,Астана,200-400к,2021-12-13
103,25-34,Астана,200-400к,2021-10-23
104,55+,Шымкент,200-400к,2021-12-29
105,35-44,Шымкент,400-700к,2020-04-10
106,35-44,Караганда,200-400к,2022-06-19
107,25-34,Караганда,до 200к,2020-05-04
108,25-34,Алматы,200-400к,2023-04-08
109,18-24,Астана,200-400к,2021-02-18
110,45-54,Алматы,до 200к,2023-05-17
111,25-34,Астана,200-400к,2022-01-16
112,25-34,Астана,до 200к,2021-07-10
113,25-34,Актобе,400-700к,2020-10-16
114,35-44,Алматы,до 200к,2022-02-06
115,25-34,Караганда,до 200к,2020-05-18
116,45-54,Астана,400-700к,2021-05-14
117,35-44,Астана,до 200к,2022-07-16
118,35-44,Актобе,400-700к,2023-06-19
119,25-34,Алматы,200-400к,2022-07-08
120,35-44,Астана,400-700к,2020-07-23
121,35-44,Астана,до 200к,2023-12-12
122,35-44,Актобе,до 200к,2022-04-27
123,18-24,Алматы,до 200к,2023-06-07
124,25-34,Костанай,700к+,2025-05-10
125,18-24,Костанай,400-700к,2020-04-07
126,25-34,Атырау,до 200к,2025-05-31
127,25-34,Астана,до 200к,2025-03-18
128,25-34,Караганда,до 200к,2022-11-01
129,18-24,Алматы,до 200к,2020-02-24
130,35-44,Павлодар,до 200к,2021-05-09
131,25-34,Шымкент,400-700к,2021-03-27
132,45-54,Алматы,до 200к,2023-03-12
133,35-44,Астана,400-700к,2023-10-15
134,25-34,Атырау,до 200к,2022-09-03
135,35-44,Павлодар,400-700к,2021-12-12
136,18-24,Шымкент,200-400к,2020-03-25
137,55+,Астана,до 200к,2025-02-21
138,25-34,Актобе,400-700к,2025-06-01
139,45-54,Атырау,до 200к,2020-03-06
140,18-24,Актобе,400-700к,2021-10-16
141,25-34,Астана,400-700к,2025-05-19
142,25-34,Караганда,700к+,2022-03-09
143,55+,Атырау,400-700к,2023-05-30
144,35-44,Алматы,до 200к,2022-10-24
145,25-34,Астана,200-400к,2023-06-20
146,25-34,Алматы,400-700к,2024-10-26
147,25-34,Астана,200-400к,2022-01-29
148,35-44,Актобе,200-400к,2024-05-17
149,25-34,Алматы,до 200к,2022-07-01
150,18-24,Шымкент,200-400к,2021-02-15
151,45-54,Алматы,200-400к,2020-05-29
152,45-54,Павлодар,до 200к,2023-12-03
153,25-34,Атырау,700к+,2023-04-20
154,35-44,Шымкент,400-700к,2024-10-15
155,18-24,Караганда,200-400к,2021-04-15
156,35-44,Алматы,до 200к,2023-11-29
157,25-34,Атырау,400-700к,2020-02-16
158,35-44,Актобе,до 200к,2020-10-05
159,35-44,Алматы,200-400к,2023-04-03
160,35-44,Костанай,400-700к,2022-12-13
161,18-24,Алматы,до 200к,2023-03-30
162,45-54,Караганда,до 200к,2024-08-04
163,25-34,Алматы,до 200к,2024-07-25
164,18-24,Актобе,200-400к,2021-01-26
165,35-44,Алматы,200-400к,2021-02-09
166,25-34,Алматы,до 200к,2022-12-13
167,45-54,Астана,700к+,2025-03-29
168,45-54,Костанай,400-700к,2023-09-01
169,25-34,Алматы,до 200к,2020-10-19
170,55+,Шымкент,200-400к,2023-06-24
171,25-34,Шымкент,200-400к,2021-11-07
172,35-44,Атырау,200-400к,2020-08-01
173,25-34,Астана,200-400к,2023-11-25
174,55+,Шымкент,до 200к,2021-07-08
175,25-34,Костанай,до 200к,2024-03-31
176,18-24,Астана,до 200к,2023-01-09
177,25-34,Астана,до 200к,2022-06-12
178,55+,Павлодар,200-400к,2021-02-21
179,45-54,Астана,700к+,2021-08-07
180,35-44,Астана,200-400к,2021-10-29
181,45-54,Астана,700к+,2023-10-18
182,45-54,Атырау,200-400к,2022-04-10
183,35-44,Павлодар,до 200к,2020-03-08
184,25-34,Караганда,400-700к,2020-01-28
185,35-44,Караганда,до 200к,2021-07-03
186,35-44,Астана,до 200к,2022-10-17
187,25-34,Алматы,700к+,2021-10-28
188,18-24,Алматы,200-400к,2025-06-12
189,35-44,Алматы,700к+,2021-04-07
190,25-34,Алматы,до 200к,2022-03-27
191,55+,Караганда,400-700к,2022-03-06
192,25-34,Алматы,до 200к,2021-07-02
193,18-24,Алматы,200-400к,2024-10-31
194,45-54,Астана,400-700к,2021-05-20
195,25-34,Алматы,200-400к,2020-01-22
196,25-34,Алматы,200-400к,2022-10-27
197,35-44,Алматы,400-700к,2023-06-23
198,45-54,Алматы,400-700к,2022-07-01
199,25-34,Шымкент,до 200к,2022-04-22
200,25-34,Актобе,до 200к,2024-09-19
201,35-44,Атырау,700к+,2022-01-17
202,55+,Актобе,200-400к,2023-07-02
203,35-44,Караганда,200-400к,2024-08-01
204,25-34,Павлодар,до 200к,2022-03-08
205,18-24,Шымкент,до 200к,2022-12-17
206,25-34,Караганда,700к+,2022-02-10
207,18-24,Астана,200-400к,2023-05-13
208,35-44,Астана,400-700к,2022-12-30
209,18-24,Астана,до 200к,2024-08-31
210,35-44,Алматы,до 200к,2021-05-21
211,35-44,Атырау,200-400к,2020-11-19
212,35-44,Алматы,400-700к,2022-04-25
213,25-34,Караганда,до 200к,2023-05-09
214,45-54,Атырау,200-400к,2021-07-24
215,35-44,Астана,200-400к,2025-06-19
216,35-44,Алматы,до 200к,2022-10-27
217,18-24,Астана,200-400к,2024-06-11
218,18-24,Астана,200-400к,2022-12-29
219,45-54,Костанай,до 200к,2022-02-24
220,25-34,Караганда,200-400к,2024-08-20
221,25-34,Актобе,до 200к,2020-11-11
222,25-34,Шымкент,400-700к,2021-05-17
223,35-44,Караганда,400-700к,2024-03-10
224,55+,Актобе,400-700к,2024-12-14
225,25-34,Алматы,200-400к,2021-08-04
226,45-54,Алматы,200-400к,2022-12-06
227,18-24,Алматы,200-400к,2022-08-30
228,35-44,Шымкент,200-400к,2023-12-24
229,35-44,Павлодар,до 200к,2022-09-25
230,18-24,Шымкент,400-700к,2023-05-08
231,25-34,Шымкент,до 200к,2023-08-31
232,25-34,Павлодар,200-400к,2024-07-16
233,55+,Алматы,200-400к,2020-10-04
234,35-44,Алматы,200-400к,2023-08-19
235,55+,Павлодар,200-400к,2020-12-27
236,45-54,Павлодар,200-400к,2020-01-23
237,25-34,Караганда,200-400к,2023-12-03
238,45-54,Алматы,700к+,2022-02-19
239,18-24,Костанай,200-400к,2023-12-04
240,18-24,Актобе,до 200к,2025-02-19
241,45-54,Караганда,400-700к,2020-09-14
242,45-54,Алматы,до 200к,2022-06-21
243,25-34,Шымкент,до 200к,2020-07-16
244,35-44,Атырау,до 200к,2024-07-14
245,35-44,Атырау,200-400к,2025-06-22
246,45-54,Шымкент,200-400к,2024-10-03
247,35-44,Шымкент,200-400к,2025-06-10
248,25-34,Караганда,400-700к,2021-10-27
249,25-34,Шымкент,200-400к,2021-07-10
250,25-34,Астана,до 200к,2024-09-11
251,35-44,Алматы,200-400к,2023-07-27
252,45-54,Алматы,400-700к,2022-01-24
253,25-34,Актобе,200-400к,2021-02-24
254,25-34,Алматы,200-400к,2020-02-20
255,25-34,Алматы,200-400к,2020-03-17
256,35-44,Павлодар,200-400к,2023-10-20
257,45-54,Караганда,200-400к,2021-06-11
258,18-24,Алматы,400-700к,2024-06-28
259,18-24,Астана,до 200к,2024-08-19
260,35-44,Актобе,до 200к,2022-06-22
261,25-34,Астана,400-700к,2021-08-22
262,45-54,Астана,400-700к,2020-12-12
263,25-34,Астана,200-400к,2021-05-28
264,25-34,Алматы,200-400к,2023-05-15
265,45-54,Актобе,700к+,2024-02-20
266,25-34,Алматы,200-400к,2024-01-16
267,25-34,Шымкент,200-400к,2025-04-01
268,25-34,Алматы,200-400к,2023-08-02
269,18-24,Алматы,200-400к,2022-10-12
270,18-24,Алматы,200-400к,2021-12-12
271,18-24,Атырау,700к+,2021-11-03
272,25-34,Алматы,до 200к,2022-01-06
273,18-24,Алматы,до 200к,2024-10-25
274,35-44,Алматы,200-400к,2023-01-03
275,35-44,Актобе,200-400к,2021-03-17
276,25-34,Астана,400-700к,2021-01-21
277,25-34,Костанай,700к+,2020-02-26
278,35-44,Караганда,400-700к,2024-08-19
279,45-54,Шымкент,700к+,2021-03-15
280,45-54,Караганда,до 200к,2020-07-23
281,18-24,Алматы,до 200к,2021-08-02
282,25-34,Костанай,200-400к,2022-08-31
283,25-34,Костанай,400-700к,2025-04-03
284,25-34,Алматы,до 200к,2024-09-14
285,35-44,Караганда,до 200к,2020-12-07
286,25-34,Алматы,200-400к,2022-11-24
287,18-24,Шымкент,200-400к,2024-07-06
288,25-34,Актобе,200-400к,2024-03-01
289,35-44,Павлодар,400-700к,2022-07-28
290,18-24,Астана,до 200к,2021-04-24
291,45-54,Караганда,200-400к,2024-04-19
292,18-24,Актобе,до 200к,2022-06-10
293,45-54,Алматы,до 200к,2021-04-19
294,18-24,Караганда,200-400к,2023-11-27
295,45-54,Караганда,200-400к,2024-10-31
296,45-54,Актобе,200-400к,2024-11-11
297,55+,Костанай,200-400к,2025-02-17
298,45-54,Алматы,400-700к,2023-07-10
299,35-44,Алматы,до 200к,2024-03-15
300,35-44,Алматы,400-700к,2021-04-30
301,35-44,Алматы,200-400к,2021-10-09
302,18-24,Астана,до 200к,2020-10-19
303,35-44,Павлодар,200-400к,2020-06-11
304,35-44,Астана,до 200к,2024-08-10
305,45-54,Караганда,до 200к,2022-07-03
306,25-34,Астана,до 200к,2023-01-13
307,25-34,Астана,до 200к,2020-06-23
308,35-44,Атырау,700к+,2021-01-02
309,25-34,Караганда,400-700к,2020-06-01
310,18-24,Астана,200-400к,2022-08-29
311,25-34,Павлодар,400-700к,2023-03-07
312,25-34,Астана,700к+,2020-09-09
313,25-34,Алматы,200-400к,2023-11-17
314,25-34,Астана,200-400к,2020-07-29
315,25-34,Караганда,200-400к,2024-08-04
316,25-34,Астана,700к+,2025-01-13
317,25-34,Атырау,400-700к,2023-07-04
318,35-44,Шымкент,до 200к,2022-12-25
319,25-34,Астана,400-700к,2024-01-03
320,55+,Атырау,до 200к,2021-05-12
321,45-54,Астана,до 200к,2025-01-16
322,25-34,Астана,200-400к,2024-10-28
323,25-34,Алматы,400-700к,2023-10-23
324,35-44,Астана,до 200к,2025-06-20
325,45-54,Астана,200-400к,2021-08-28
326,35-44,Алматы,400-700к,2024-11-03
327,45-54,Шымкент,до 200к,2020-03-08
328,35-44,Алматы,400-700к,2024-02-04
329,35-44,Алматы,200-400к,2021-08-01
330,25-34,Шымкент,200-400к,2025-04-08
331,35-44,Алматы,до 200к,2023-02-08
332,25-34,Караганда,700к+,2021-01-29
333,35-44,Караганда,700к+,2021-09-21
334,45-54,Астана,до 200к,2024-10-21
335,18-24,Алматы,200-400к,2024-05-28
336,35-44,Астана,400-700к,2021-12-18
337,18-24,Алматы,до 200к,2021-06-09
338,35-44,Шымкент,200-400к,2020-03-05
339,18-24,Актобе,400-700к,2020-09-03
340,55+,Караганда,200-400к,2020-03-05
341,18-24,Астана,700к+,2021-10-21
342,55+,Костанай,до 200к,2021-01-10
343,45-54,Алматы,700к+,2020-02-10
344,35-44,Павлодар,700к+,2024-04-07
345,45-54,Атырау,до 200к,2024-10-24
346,45-54,Астана,200-400к,2024-11-28
347,55+,Алматы,200-400к,2024-07-31
348,25-34,Алматы,400-700к,2020-09-12
349,35-44,Павлодар,до 200к,2020-11-24
350,18-24,Алматы,200-400к,2024-08-17
351,35-44,Павлодар,400-700к,2020-01-31
352,25-34,Шымкент,200-400к,2024-02-19
353,35-44,Астана,200-400к,2020-09-09
354,35-44,Шымкент,200-400к,2020-04-14
355,25-34,Алматы,700к+,2024-04-09
356,35-44,Астана,до 200к,2024-01-02
357,35-44,Павлодар,700к+,2020-06-19
358,45-54,Алматы,200-400к,2020-03-17
359,25-34,Павлодар,700к+,2024-11-01
360,35-44,Костанай,до 200к,2021-06-09
361,55+,Алматы,200-400к,2025-04-22
362,18-24,Шымкент,400-700к,2022-11-27
363,18-24,Алматы,400-700к,2025-05-11
364,18-24,Караганда,до 200к,2024-12-23
365,35-44,Костанай,200-400к,2023-05-16
366,25-34,Павлодар,до 200к,2020-07-29
367,35-44,Павлодар,до 200к,2024-11-29
368,35-44,Алматы,400-700к,2021-11-27
369,25-34,Шымкент,700к+,2021-05-19
370,45-54,Алматы,200-400к,2023-02-27
371,35-44,Павлодар,до 200к,2021-12-15
372,25-34,Алматы,до 200к,2024-01-20
373,25-34,Алматы,200-400к,2021-06-13
374,25-34,Алматы,до 200к,2025-01-04
375,25-34,Алматы,400-700к,2020-07-18
376,25-34,Алматы,до 200к,2022-07-26
377,55+,Алматы,до 200к,2025-04-04
378,25-34,Атырау,400-700к,2024-08-08
379,25-34,Актобе,до 200к,2024-06-28
380,35-44,Алматы,200-400к,2023-05-19
381,35-44,Актобе,200-400к,2023-02-12
382,55+,Астана,до 200к,2021-02-12
383,45-54,Актобе,200-400к,2021-08-18
384,25-34,Астана,200-400к,2023-03-05
385,25-34,Шымкент,200-400к,2021-09-05
386,55+,Астана,до 200к,2021-09-19
387,35-44,Алматы,200-400к,2023-09-20
388,55+,Шымкент,200-400к,2023-11-08
389,18-24,Актобе,до 200к,2022-09-19
390,45-54,Актобе,до 200к,2021-07-23
391,35-44,Астана,до 200к,2020-12-18
392,18-24,Шымкент,до 200к,2021-06-09
393,35-44,Актобе,до 200к,2021-10-21
394,35-44,Алматы,700к+,2025-03-05
395,18-24,Алматы,200-400к,2021-10-07
396,25-34,Астана,200-400к,2024-12-22
397,45-54,Алматы,до 200к,2022-12-12
398,25-34,Астана,до 200к,2022-06-22
399,25-34,Алматы,400-700к,2021-06-19
400,25-34,Шымкент,400-700к,2024-03-10
401,25-34,Караганда,700к+,2024-08-12
402,45-54,Атырау,до 200к,2025-05-18
403,45-54,Караганда,до 200к,2024-06-28
404,18-24,Астана,400-700к,2020-06-26
405,55+,Павлодар,200-400к,2024-10-24
406,45-54,Актобе,до 200к,2023-04-27
407,25-34,Шымкент,200-400к,2022-10-23
408,45-54,Алматы,до 200к,2021-05-21
409,18-24,Караганда,400-700к,2022-10-10
410,55+,Шымкент,400-700к,2024-05-19
411,35-44,Караганда,200-400к,2023-03-24
412,35-44,Актобе,200-400к,2020-07-21
413,18-24,Павлодар,400-700к,2024-02-20
414,45-54,Костанай,200-400к,2024-04-26
415,18-24,Караганда,400-700к,2023-09-06
416,25-34,Костанай,200-400к,2021-02-05
417,25-34,Павлодар,700к+,2021-08-13
418,35-44,Алматы,до 200к,2022-07-01
419,25-34,Караганда,200-400к,2024-10-04
420,45-54,Алматы,400-700к,2024-06-15
421,35-44,Астана,400-700к,2020-07-09
422,18-24,Астана,700к+,2020-05-14
423,18-24,Астана,200-400к,2020-04-09
424,18-24,Алматы,400-700к,2025-01-30
425,35-44,Алматы,до 200к,2024-09-23
426,45-54,Алматы,200-400к,2021-03-10
427,25-34,Караганда,до 200к,2025-01-06
428,45-54,Павлодар,200-400к,2022-09-28
429,18-24,Костанай,700к+,2021-09-18
430,45-54,Астана,400-700к,2024-01-09
431,45-54,Алматы,200-400к,2020-05-18
432,35-44,Атырау,до 200к,2020-09-03
433,35-44,Алматы,200-400к,2021-05-27
434,45-54,Костанай,до 200к,2023-05-02
435,18-24,Актобе,до 200к,2024-08-03
436,25-34,Шымкент,700к+,2022-10-28
437,18-24,Алматы,200-400к,2022-05-29
438,35-44,Алматы,до 200к,2023-03-17
439,35-44,Шымкент,400-700к,2020-01-24
440,35-44,Астана,до 200к,2023-08-17
441,45-54,Атырау,200-400к,2024-05-28
442,25-34,Караганда,до 200к,2022-04-21
443,35-44,Астана,до 200к,2023-07-19
444,25-34,Алматы,200-400к,2021-08-20
445,25-34,Астана,400-700к,2025-02-15
446,35-44,Алматы,200-400к,2021-01-02
447,55+,Караганда,400-700к,2020-10-02
448,35-44,Шымкент,700к+,2025-02-21
449,18-24,Атырау,400-700к,2022-10-11
450,35-44,Астана,700к+,2022-03-13
451,18-24,Алматы,700к+,2024-06-19
452,45-54,Атырау,400-700к,2021-07-18
453,35-44,Караганда,до 200к,2021-08-14
454,25-34,Караганда,до 200к,2020-04-15
455,18-24,Шымкент,400-700к,2022-11-02
456,25-34,Павлодар,400-700к,2024-02-11
457,55+,Алматы,400-700к,2025-05-26
458,25-34,Астана,200-400к,2022-11-21
459,45-54,Атырау,400-700к,2020-05-29
460,35-44,Алматы,400-700к,2021-01-16
461,35-44,Атырау,200-400к,2021-07-16
462,25-34,Астана,до 200к,2024-11-21
463,55+,Алматы,200-400к,2023-03-07
464,25-34,Алматы,до 200к,2025-02-10
465,35-44,Атырау,до 200к,2024-08-15
466,35-44,Актобе,200-400к,2024-10-27
467,35-44,Астана,до 200к,2021-07-13
468,55+,Алматы,700к+,2023-01-26
469,25-34,Алматы,200-400к,2020-04-30
470,35-44,Алматы,400-700к,2022-01-16
471,25-34,Актобе,до 200к,2021-09-18
472,25-34,Алматы,400-700к,2020-11-19
473,18-24,Алматы,200-400к,2020-05-03
474,18-24,Алматы,200-400к,2022-01-24
475,25-34,Шымкент,200-400к,2020-05-20
476,25-34,Караганда,200-400к,2023-05-09
477,25-34,Караганда,200-400к,2021-07-08
478,35-44,Шымкент,400-700к,2021-03-29
479,35-44,Костанай,400-700к,2020-08-09
480,25-34,Астана,200-400к,2022-07-16
481,25-34,Атырау,700к+,2020-12-03
482,25-34,Караганда,200-400к,2023-02-20
483,35-44,Алматы,до 200к,2025-05-26
484,25-34,Атырау,200-400к,2024-01-02
485,18-24,Шымкент,200-400к,2020-08-20
486,25-34,Караганда,200-400к,2020-07-01
487,25-34,Алматы,400-700к,2024-10-16
488,25-34,Астана,200-400к,2024-09-29
489,35-44,Павлодар,700к+,2021-12-26
490,35-44,Алматы,до 200к,2022-07-01
491,35-44,Алматы,200-400к,2022-01-24
492,35-44,Алматы,до 200к,2023-03-09
493,35-44,Астана,200-400к,2021-02-21
494,25-34,Атырау,200-400к,2025-02-23
495,45-54,Караганда,400-700к,2022-03-18
496,35-44,Павлодар,400-700к,2020-12-01
497,25-34,Астана,до 200к,2021-08-25
498,35-44,Астана,до 200к,2024-11-03
499,25-34,Алматы,200-400к,2021-07-31
500,35-44,Алматы,до 200к,2024-05-27
501,35-44,Актобе,200-400к,2024-03-11
502,45-54,Алматы,200-400к,2025-06-11
503,45-54,Алматы,400-700к,2020-11-02
504,35-44,Павлодар,700к+,2022-02-25
505,35-44,Шымкент,200-400к,2024-08-09
506,45-54,Алматы,700к+,2020-09-10
507,25-34,Караганда,400-700к,2020-03-09
508,45-54,Шымкент,до 200к,2020-01-29
509,25-34,Атырау,400-700к,2020-06-13
510,18-24,Караганда,200-400к,2024-05-04
511,18-24,Алматы,400-700к,2021-11-28
512,45-54,Алматы,400-700к,2020-09-30
513,18-24,Алматы,400-700к,2023-11-08
514,25-34,Караганда,400-700к,2021-09-04
515,25-34,Шымкент,400-700к,2020-10-04
516,25-34,Актобе,200-400к,2025-05-28
517,25-34,Шымкент,700к+,2023-03-14
518,35-44,Астана,200-400к,2022-06-03
519,18-24,Алматы,400-700к,2025-01-16
520,45-54,Алматы,400-700к,2021-04-07
521,45-54,Астана,до 200к,2023-03-25
522,25-34,Шымкент,200-400к,2024-02-15
523,25-34,Павлодар,400-700к,2020-01-12
524,35-44,Алматы,700к+,2021-06-27
525,18-24,Караганда,400-700к,2020-07-10
526,25-34,Алматы,200-400к,2022-11-28
527,55+,Актобе,до 200к,2023-09-22
528,55+,Алматы,200-400к,2020-11-10
529,35-44,Караганда,200-400к,2020-10-11
530,25-34,Алматы,400-700к,2022-07-10
531,35-44,Алматы,200-400к,2022-03-05
532,35-44,Шымкент,200-400к,2020-08-05
533,25-34,Астана,200-400к,2023-09-24
534,35-44,Астана,700к+,2024-03-26
535,18-24,Астана,200-400к,2022-05-06
536,25-34,Костанай,до 200к,2021-12-31
537,35-44,Астана,200-400к,2020-11-16
538,25-34,Шымкент,200-400к,2021-09-29
539,25-34,Атырау,200-400к,2022-10-11
540,45-54,Караганда,400-700к,2025-06-10
541,55+,Астана,до 200к,2021-01-06
542,35-44,Шымкент,200-400к,2024-07-17
543,45-54,Алматы,200-400к,2022-10-01
544,55+,Шымкент,200-400к,2023-01-12
545,25-34,Астана,200-400к,2021-08-23
546,25-34,Актобе,400-700к,2025-03-03
547,25-34,Атырау,до 200к,2020-05-08
548,18-24,Алматы,до 200к,2021-02-26
549,35-44,Алматы,400-700к,2021-09-26
550,25-34,Астана,700к+,2023-02-20
551,25-34,Шымкент,до 200к,2022-04-26
552,25-34,Астана,до 200к,2025-02-01
553,25-34,Караганда,700к+,2021-01-04
554,45-54,Шымкент,до 200к,2023-02-13
555,18-24,Павлодар,700к+,2022-08-26
556,25-34,Астана,400-700к,2021-09-07
557,25-34,Алматы,до 200к,2020-02-16
558,25-34,Астана,до 200к,2024-06-11
559,35-44,Шымкент,700к+,2021-02-04
560,25-34,Алматы,до 200к,2020-10-04
561,18-24,Алматы,200-400к,2023-02-14
562,25-34,Астана,до 200к,2020-10-31
563,45-54,Актобе,200-400к,2023-07-02
564,35-44,Костанай,400-700к,2024-01-02
565,35-44,Астана,200-400к,2021-04-04
566,35-44,Алматы,до 200к,2020-05-18
567,35-44,Астана,200-400к,2020-07-12
568,18-24,Астана,200-400к,2020-04-11
569,25-34,Костанай,до 200к,2022-08-26
570,35-44,Астана,400-700к,2022-01-28
571,25-34,Караганда,200-400к,2024-04-04
572,45-54,Павлодар,до 200к,2022-03-06
573,25-34,Караганда,700к+,2023-07-25
574,35-44,Алматы,200-400к,2022-07-28
575,45-54,Шымкент,до 200к,2022-05-06
576,35-44,Астана,до 200к,2024-01-21
577,45-54,Астана,200-400к,2022-10-14
578,35-44,Костанай,200-400к,2023-02-11
579,45-54,Алматы,до 200к,2022-06-19
580,25-34,Астана,400-700к,2023-11-28
581,25-34,Алматы,200-400к,2021-09-01
582,35-44,Алматы,до 200к,2020-04-09
583,18-24,Шымкент,400-700к,2022-04-27
584,25-34,Актобе,400-700к,2021-09-23
585,45-54,Караганда,200-400к,2024-11-28
586,35-44,Астана,700к+,2025-04-16
587,25-34,Алматы,до 200к,2021-03-11
588,25-34,Астана,до 200к,2022-05-05
589,25-34,Шымкент,до 200к,2022-05-14
590,18-24,Актобе,200-400к,2021-03-20
591,45-54,Караганда,200-400к,2020-01-20
592,25-34,Павлодар,до 200к,2025-06-07
593,25-34,Актобе,200-400к,2023-07-28
594,35-44,Астана,700к+,2022-04-02
595,18-24,Караганда,400-700к,2021-01-02
596,25-34,Актобе,200-400к,2022-08-15
597,35-44,Костанай,200-400к,2021-06-28
598,35-44,Астана,400-700к,2021-03-23
599,55+,Караганда,200-400к,2025-03-30
600,35-44,Астана,200-400к,2023-08-05
601,25-34,Актобе,200-400к,2021-09-08
602,35-44,Павлодар,до 200к,2021-02-18
603,45-54,Павлодар,200-400к,2024-03-17
604,35-44,Алматы,200-400к,2023-05-04
605,55+,Алматы,до 200к,2024-09-05
606,45-54,Актобе,до 200к,2024-02-23
607,45-54,Караганда,400-700к,2022-03-15
608,18-24,Павлодар,до 200к,2023-07-28
609,35-44,Астана,200-400к,2022-01-31
610,25-34,Атырау,до 200к,2020-06-29
611,35-44,Караганда,до 200к,2020-03-04
